Abbr,AtomicVolume,AtomicWeight,BoilingT,Column,CovalentRadius,Density,DipolePolarizability,ElectronAffinity,Electronegativity,FirstIonizationEnergy,FusionEnthalpy,GSbandgap,GSmagmom,HeatCapacityMass,HeatCapacityMolar,HeatFusion,MeltingT,MendeleevNumber,NdUnfilled,NdValence,NfUnfilled,NfValence,NpUnfilled,NpValence,NsUnfilled,NsValence,Number,NUnfilled,NValence,Polarizability,Row,SpaceGroupNumber
Nd,34.1690548824543,144.242,3373.0,3.0,201.0,7010.0,31.4,50.0,1.14,5.525,7.14,0.0,0.0,0.19,27.45,7.14,1294.0,19.0,0.0,0.0,10.0,4.0,0.0,0.0,0.0,2.0,60.0,10.0,6.0,31.4,6.0,194.0
Pm,33.1475485627589,145.0,3273.0,3.0,199.0,7264.0,30.1,50.0,1.155,5.582,0.0,0.0,0.0,0.0,0.0,0.0,1373.0,21.0,0.0,0.0,9.0,5.0,0.0,0.0,0.0,2.0,61.0,9.0,7.0,30.1,6.0,194.0
Sm,33.9568190130002,150.36,2076.0,3.0,198.0,7353.0,28.8,50.0,1.17,5.6437,8.62,0.0,0.0,0.196,29.54,8.62,1345.0,23.0,0.0,0.0,8.0,6.0,0.0,0.0,0.0,2.0,62.0,8.0,8.0,28.8,6.0,166.0
Eu,48.1212923577191,151.964,1800.0,3.0,198.0,5244.0,27.7,50.0,1.185,5.67038,9.21,0.0,0.0,0.182,27.66,9.21,1095.0,25.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,2.0,63.0,7.0,9.0,27.7,6.0,229.0
Gd,33.0497243138068,157.25,3523.0,3.0,196.0,7901.0,23.5,50.0,1.2,6.1498,9.67,0.0,0.0,0.235,37.03,9.67,1586.0,27.0,9.0,1.0,7.0,7.0,0.0,0.0,0.0,2.0,64.0,16.0,10.0,23.5,6.0,194.0
Tb,32.109492755383,158.92535,3503.0,3.0,194.0,8219.0,25.5,50.0,1.21,5.8638,10.15,0.0,0.0,0.182,28.91,10.15,1629.0,29.0,0.0,0.0,5.0,9.0,0.0,0.0,0.0,2.0,65.0,5.0,11.0,25.5,6.0,194.0
Dy,31.5569998455358,162.5,2840.0,3.0,192.0,8551.0,24.5,50.0,1.22,5.9389,11.35,0.0,0.0,0.173,28.16,11.35,1685.0,31.0,0.0,0.0,4.0,10.0,0.0,0.0,0.0,2.0,66.0,4.0,12.0,24.5,6.0,194.0
Ho,31.1403799107649,164.93032,2973.0,3.0,192.0,8795.0,23.6,50.0,1.23,6.0215,11.76,0.0,0.0,0.165,27.15,11.76,1747.0,33.0,0.0,0.0,3.0,11.0,0.0,0.0,0.0,2.0,67.0,3.0,13.0,23.6,6.0,194.0
Er,30.6360683670134,167.259,3141.0,3.0,189.0,9066.0,22.7,50.0,1.24,6.1077,19.9,0.0,0.0,0.168,28.12,19.9,1770.0,35.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,2.0,68.0,2.0,14.0,22.7,6.0,194.0
Tm,30.0963858478217,168.93421,2223.0,3.0,190.0,9321.0,21.8,50.0,1.25,6.18431,16.84,0.0,0.0,0.16,27.03,16.84,1818.0,37.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,2.0,69.0,1.0,15.0,21.8,6.0,194.0
Yb,43.7396719385591,173.054,1469.0,3.0,187.0,6570.0,20.9,50.0,1.26,6.25416,7.66,0.0,0.0,0.155,26.74,7.66,1092.0,39.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,2.0,70.0,0.0,16.0,20.9,6.0,225.0
Lu,29.5240319080689,174.9668,3675.0,3.0,187.0,9841.0,21.9,50.0,1.27,5.42586,18.65,0.0,0.0022471,0.154,26.86,18.65,1936.0,41.0,9.0,1.0,0.0,14.0,0.0,0.0,0.0,2.0,71.0,9.0,17.0,21.9,6.0,194.0
Hf,22.2687111944408,178.49,4876.0,4.0,175.0,13310.0,16.2,0.0,1.3,6.82507,27.2,0.0,0.0,0.144,25.73,27.2,2506.0,45.0,8.0,2.0,0.0,14.0,0.0,0.0,0.0,2.0,72.0,8.0,18.0,16.2,6.0,194.0
Ta,18.0467295591839,180.94788,5731.0,5.0,170.0,16650.0,13.1,31.0,1.5,7.54957,36.57,0.0,0.0,0.14,25.36,36.57,3290.0,48.0,7.0,3.0,0.0,14.0,0.0,0.0,0.0,2.0,73.0,7.0,19.0,13.1,6.0,229.0
W,15.8587344239951,183.84,5828.0,6.0,162.0,19250.0,11.1,78.6,2.36,7.86403,52.31,0.0,0.0,0.132,24.27,52.31,3695.0,51.0,6.0,4.0,0.0,14.0,0.0,0.0,0.0,2.0,74.0,6.0,20.0,11.1,6.0,229.0
Re,14.7103342296135,186.207,5869.0,7.0,151.0,21020.0,9.7,14.5,1.9,7.83352,34.08,0.0,0.0,0.137,25.48,34.08,3459.0,54.0,5.0,5.0,0.0,14.0,0.0,0.0,0.0,2.0,75.0,5.0,21.0,9.7,6.0,194.0
Os,13.98369766809,190.23,5285.0,8.0,144.0,22590.0,8.5,106.1,2.2,8.43823,57.85,0.0,0.0,0.13,24.7,57.85,3306.0,57.0,4.0,6.0,0.0,14.0,0.0,0.0,0.0,2.0,76.0,4.0,22.0,8.5,6.0,194.0
Ir,14.1485504686127,192.217,4701.0,9.0,141.0,22560.0,7.6,151.0,2.2,8.96702,41.12,0.0,0.0,0.131,25.1,41.12,2739.0,60.0,3.0,7.0,0.0,14.0,0.0,0.0,0.0,2.0,77.0,3.0,23.0,7.6,6.0,225.0
Pt,15.3604635067342,195.084,4098.0,10.0,136.0,21090.0,6.5,205.3,2.28,8.9588,22.175,0.0,0.0,0.133,25.86,22.175,2041.4,63.0,1.0,9.0,0.0,14.0,0.0,0.0,1.0,1.0,78.0,2.0,24.0,6.5,6.0,225.0
Au,16.9470636164805,196.966569,3129.0,11.0,136.0,19300.0,5.8,222.8,2.54,9.22553,12.55,0.0,0.0,0.129,25.418,12.55,1337.33,66.0,0.0,10.0,0.0,14.0,0.0,0.0,1.0,1.0,79.0,1.0,25.0,5.8,6.0,225.0
Hg,24.6117420696302,200.59,629.73,12.0,132.0,13534.0,5.36,0.0,2.0,10.4375,2.295,0.0,0.0,0.14,27.983,2.295,234.32,71.0,0.0,10.0,0.0,14.0,0.0,0.0,0.0,2.0,80.0,0.0,26.0,5.36,6.0,166.0
Tl,28.6408765609082,204.3833,1746.0,13.0,145.0,11850.0,7.55,19.2,1.62,6.108194,4.142,0.0,0.0,0.129,26.32,4.142,577.0,76.0,0.0,10.0,0.0,14.0,5.0,1.0,0.0,2.0,81.0,5.0,27.0,7.55,6.0,194.0
Pb,30.3414230127393,207.2,2022.0,14.0,146.0,11340.0,6.995,35.1,2.33,7.41663,4.774,0.0,0.0,0.13,24.7,4.774,600.61,81.0,0.0,10.0,0.0,14.0,4.0,2.0,0.0,2.0,82.0,4.0,28.0,6.995,6.0,225.0
Bi,35.4834590822064,208.9804,1837.0,15.0,148.0,9780.0,0.4,91.2,2.02,7.2855,11.106,0.0,0.0,0.122,25.52,11.106,544.4,86.0,0.0,10.0,0.0,14.0,3.0,3.0,0.0,2.0,83.0,3.0,29.0,0.4,6.0,12.0
Po,37.740406388696,209.0,1235.0,16.0,140.0,9196.0,6.8,183.3,2.0,8.414,10.0,0.0,0.0,0.0,0.0,10.0,527.0,91.0,0.0,10.0,0.0,14.0,2.0,4.0,0.0,2.0,84.0,2.0,30.0,6.8,6.0,221.0
At,0.0,210.0,0.0,17.0,150.0,0.0,6.0,270.1,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,575.0,97.0,0.0,10.0,0.0,14.0,1.0,5.0,0.0,2.0,85.0,1.0,31.0,6.0,6.0,0.0
Rn,37887.7995482819,222.0,211.3,18.0,150.0,9.73,5.3,0.0,0.0,10.7485,0.0,0.0,0.0,0.094,20.786,0.0,202.0,103.0,0.0,10.0,0.0,14.0,0.0,6.0,0.0,2.0,86.0,0.0,32.0,5.3,6.0,0.0
Fr,0.0,223.0,0.0,1.0,260.0,0.0,47.85,0.0,0.7,4.072741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,87.0,1.0,1.0,47.85,7.0,0.0
